year,month,total
2019,9,1585
2019,10,2083
2019,11,3032
2019,12,3416
2020,1,4046
2020,2,1882
2020,3,2869
2020,4,1632
2020,5,1023
2020,6,2169
2020,7,2563
2020,8,3345
2020,9,3808
2020,10,5117
2020,11,3473
2020,12,2264
2021,1,2083
2021,2,2707
2021,3,2262
2021,4,3100
2021,5,2592
2021,6,2840
2021,7,3570
2021,8,3451
2021,9,2787
2021,10,3775
2021,11,3448
2021,12,3242
2022,1,2253
2022,2,3407
2022,3,3387
2022,4,4174
2022,5,3655
2022,6,3836
2022,7,2915
2022,8,4235
2022,9,3323
2022,10,3368
2022,11,5465
2022,12,2295
2023,1,3137
2023,2,3168
2023,3,3605
2023,4,3763
2023,5,3639
2023,6,4576
2023,7,3909
2023,8,4079
2023,9,4021
